date,fund,return
2022-06-06,Combined Min-Variance,-0.00331297702673429
2022-06-07,Combined Min-Variance,0.007110106460557802
2022-06-08,Combined Min-Variance,-0.010173656238687795
2022-06-09,Combined Min-Variance,-0.02204842498216028
2022-06-10,Combined Min-Variance,-0.009923274998577362
2022-06-13,Combined Min-Variance,-0.0334926770361144
2022-06-14,Combined Min-Variance,-0.013812276096972477
2022-06-15,Combined Min-Variance,0.003568153848858685
2022-06-16,Combined Min-Variance,-0.009813635412111332
2022-06-17,Combined Min-Variance,-0.003198177116233249
2022-06-21,Combined Min-Variance,0.0220623393404649
2022-06-22,Combined Min-Variance,0.002484962703748997
2022-06-23,Combined Min-Variance,0.012443419247110362
2022-06-24,Combined Min-Variance,0.014545819135959313
2022-06-27,Combined Min-Variance,-0.0026031969512875968
2022-06-28,Combined Min-Variance,-0.009144633809607111
2022-06-29,Combined Min-Variance,0.0006823089699567016
2022-06-30,Combined Min-Variance,-0.007842340222001084
2022-07-01,Combined Min-Variance,0.015847389968834003
2022-07-05,Combined Min-Variance,-0.004258250461458621
2022-07-06,Combined Min-Variance,0.0010042762986763882
2022-07-07,Combined Min-Variance,0.0026279363289903822
2022-07-08,Combined Min-Variance,-0.0022427885771054614
2022-07-11,Combined Min-Variance,-0.0008257450314558086
2022-07-12,Combined Min-Variance,-0.005523167161130974
2022-07-13,Combined Min-Variance,-0.0021826807944250876
2022-07-14,Combined Min-Variance,-0.0038092050514944202
2022-07-15,Combined Min-Variance,0.011082940684183563
2022-07-18,Combined Min-Variance,-0.01153953655305272
2022-07-19,Combined Min-Variance,0.013366668323503889
2022-07-20,Combined Min-Variance,-0.00565239247557262
2022-07-21,Combined Min-Variance,0.0038837308980151633
2022-07-22,Combined Min-Variance,0.00027166055491937733
2022-07-25,Combined Min-Variance,-0.0034213190110396496
2022-07-26,Combined Min-Variance,-0.0030869021614036785
2022-07-27,Combined Min-Variance,0.004383570819108857
2022-07-28,Combined Min-Variance,0.008119546802769353
2022-07-29,Combined Min-Variance,0.0028274229369047647
2022-08-01,Combined Min-Variance,-0.0047405344119505815
2022-08-02,Combined Min-Variance,-0.006090779424435186
2022-08-03,Combined Min-Variance,0.011512286690268589
2022-08-04,Combined Min-Variance,-0.005919112029479677
2022-08-05,Combined Min-Variance,-0.0040339650177785595
2022-08-08,Combined Min-Variance,0.004275911384887476
2022-08-09,Combined Min-Variance,0.0022028935085772793
2022-08-10,Combined Min-Variance,0.011292507892934862
2022-08-11,Combined Min-Variance,-0.0009425154826027258
2022-08-12,Combined Min-Variance,0.014619955111591667
2022-08-15,Combined Min-Variance,0.009659101386521369
2022-08-16,Combined Min-Variance,0.011612300147379254
2022-08-17,Combined Min-Variance,-0.006296254559790711
2022-08-18,Combined Min-Variance,-0.0023909102237236013
2022-08-19,Combined Min-Variance,-0.00476134074473572
2022-08-22,Combined Min-Variance,-0.0140038103845138
2022-08-23,Combined Min-Variance,-0.0044348102726284
2022-08-24,Combined Min-Variance,0.0004342788764335325
2022-08-25,Combined Min-Variance,0.006821926206479707
2022-08-26,Combined Min-Variance,-0.019289872325569668
2022-08-29,Combined Min-Variance,-0.004000621784214412
2022-08-30,Combined Min-Variance,-0.008605903378481942
2022-08-31,Combined Min-Variance,-0.0034869597149815275
2022-09-01,Combined Min-Variance,0.011605837182904137
2022-09-02,Combined Min-Variance,-0.009332700286104847
2022-09-06,Combined Min-Variance,-0.0023632236586992443
2022-09-07,Combined Min-Variance,0.016311536072590026
2022-09-08,Combined Min-Variance,0.002358816137467452
2022-09-09,Combined Min-Variance,0.0096371346387116
2022-09-12,Combined Min-Variance,0.008558905632844598
2022-09-13,Combined Min-Variance,-0.029793919002088564
2022-09-14,Combined Min-Variance,0.005416045087262239
2022-09-15,Combined Min-Variance,-0.010226921249003599
2022-09-16,Combined Min-Variance,0.0006933794848634901
2022-09-19,Combined Min-Variance,0.0035932444625280677
2022-09-20,Combined Min-Variance,-0.013427194632008695
2022-09-21,Combined Min-Variance,-0.012841324983113063
2022-09-22,Combined Min-Variance,0.0024843325873654017
2022-09-23,Combined Min-Variance,-0.016568973661115396
2022-09-26,Combined Min-Variance,-0.010595353544818303
2022-09-27,Combined Min-Variance,-0.00593355603669041
2022-09-28,Combined Min-Variance,0.021894749789104564
2022-09-29,Combined Min-Variance,-0.01665817118427453
2022-09-30,Combined Min-Variance,-0.01700691597529752
2022-10-03,Combined Min-Variance,0.02671132713230307
2022-10-04,Combined Min-Variance,0.02095413899252973
2022-10-05,Combined Min-Variance,-0.004499734160352938
2022-10-06,Combined Min-Variance,-0.009038980997903217
2022-10-07,Combined Min-Variance,-0.014435611489869219
2022-10-10,Combined Min-Variance,0.002135425816886874
2022-10-11,Combined Min-Variance,0.013690350637774112
2022-10-12,Combined Min-Variance,-0.0048672758500713075
2022-10-13,Combined Min-Variance,0.01986956338336364
2022-10-14,Combined Min-Variance,-0.011433206448127127
2022-10-17,Combined Min-Variance,0.0122927593657535
2022-10-18,Combined Min-Variance,0.010897734619113829
2022-10-19,Combined Min-Variance,-0.008154754529579969
2022-10-20,Combined Min-Variance,-0.003498287612725061
2022-10-21,Combined Min-Variance,0.02066535812016481
2022-10-24,Combined Min-Variance,0.01689813594801132
2022-10-25,Combined Min-Variance,0.008779769290146615
2022-10-26,Combined Min-Variance,0.011862772805998931
2022-10-27,Combined Min-Variance,0.001126260650077029
2022-10-28,Combined Min-Variance,0.022312947557646186
2022-10-31,Combined Min-Variance,-0.007421171278507625
2022-11-01,Combined Min-Variance,-0.00023467834126537392
2022-11-02,Combined Min-Variance,-0.011715354597173964
2022-11-03,Combined Min-Variance,-0.004331058762196345
2022-11-04,Combined Min-Variance,0.014215717392421284
2022-11-07,Combined Min-Variance,0.012336519126177505
2022-11-08,Combined Min-Variance,0.00873438452945686
